geometry,NDVI,date,landtemp(C),watertemp(C),reach_id
,0.07801558822393417,1982-11-20,1.6946603600000003,,Columbia_River_71
,-0.12197282165288925,1982-12-22,4.757206279999991,,Columbia_River_71
,0.1581057815661411,1983-08-12,38.70843575459507,20.10883447469896,Columbia_River_71
,,1984-04-16,,,Columbia_River_71
,0.2550749669070579,1984-04-23,22.808453504000024,7.719798273122372,Columbia_River_71
,,1984-05-25,,,Columbia_River_71
,0.2081963270902633,1984-06-03,27.03586064000001,,Columbia_River_71
,0.2129750538253449,1984-06-10,37.34553199381068,14.91958822269194,Columbia_River_71
,0.1858356148008707,1984-06-19,29.600506707774382,10.990277775162632,Columbia_River_71
,,1984-06-26,,,Columbia_River_71
,0.185826252578712,1984-07-05,36.42443381594686,14.84479960996795,Columbia_River_71
,0.1656734736515965,1984-07-28,39.13323788071131,18.94026274057877,Columbia_River_71
,0.1734718821399233,1984-08-06,37.30967695061226,18.906447798109756,Columbia_River_71
,0.1546101727536968,1984-08-29,34.8248255146849,18.76633003308197,Columbia_River_71
,0.147023353379869,1984-09-14,29.693733425815232,18.02854352152313,Columbia_River_71
,0.1427205756814078,1984-09-30,22.303893150741647,15.961474032107684,Columbia_River_71
,,1984-10-25,,,Columbia_River_71
,0.001440994981094,1984-12-03,-1.325358082328722,6.257001225401397,Columbia_River_71
,,1984-12-12,,,Columbia_River_71
,,1985-01-04,,,Columbia_River_71
,-0.0281258512581917,1985-01-29,-4.932624429882315,-1.0153484340834,Columbia_River_71
,-0.0282928766988781,1985-02-14,-3.603219154122609,-1.767316738084898,Columbia_River_71
,,1985-02-21,,,Columbia_River_71
,0.1253801320283389,1985-03-09,8.942060077208964,1.244071477698941,Columbia_River_71
,0.1612121562489332,1985-03-18,15.831366522779554,3.3364390289270163,Columbia_River_71
,0.1907986688512652,1985-03-25,14.81507170390392,3.5465762116941435,Columbia_River_71
,,1985-04-03,,,Columbia_River_71
,0.1684251874685287,1985-04-10,24.174696667043424,4.657561820685065,Columbia_River_71
,0.2002418759179431,1985-04-19,19.16341753217392,6.283072790114065,Columbia_River_71
,0.180929466964955,1985-05-05,18.830296108172774,5.706106405846652,Columbia_River_71
,0.1854226453227488,1985-05-12,18.072713614615264,6.316990535694907,Columbia_River_71
,,1985-06-13,,,Columbia_River_71
,0.1736176345359947,1985-06-22,40.84622710856812,17.87117501113529,Columbia_River_71
,0.1817552833737971,1985-06-29,42.62711951178702,17.819715115746245,Columbia_River_71
,0.161743543986107,1985-07-08,47.61183299223941,20.951159277440865,Columbia_River_71
,0.1581466993777526,1985-07-15,46.881841072972335,20.555981397924626,Columbia_River_71
,0.1463847052577247,1985-07-24,42.41973029570743,19.35169940600631,Columbia_River_71
,0.1426624757572943,1985-08-09,36.549311766534,18.524932554575173,Columbia_River_71
,0.1545785458654561,1985-08-16,36.88714850748059,18.59954067863973,Columbia_River_71
,,1985-09-17,,,Columbia_River_71
,0.1344258664550161,1985-09-26,27.806341456616558,17.07823018523615,Columbia_River_71
,0.1241943710313524,1985-10-03,16.28775151199802,10.32796912798412,Columbia_River_71
,0.1659086139536996,1985-10-12,19.21371013353408,15.005886100368157,Columbia_River_71
,,1985-10-19,,,Columbia_River_71
,0.1542922050404233,1985-10-28,16.323154724596417,12.619413211725249,Columbia_River_71
,,1985-11-04,,,Columbia_River_71
,0.1233065284877274,1985-11-13,4.869964529667127,8.036177706982567,Columbia_River_71
,-0.0105727691381816,1985-11-20,0.5798599328614419,6.662719496793389,Columbia_River_71
,-0.0378752556699578,1985-11-29,-14.644325126832952,,Columbia_River_71
,-0.0442941554700255,1986-01-07,-8.51443886241685,-9.714690399999997,Columbia_River_71
,,1986-01-23,,,Columbia_River_71
,0.0952489805012029,1986-02-08,3.602053143610892,1.0733894996661006,Columbia_River_71
,0.0235271714627742,1986-02-24,-2.7774480970531883,,Columbia_River_71
,0.1766384325882634,1986-03-12,15.045498090757526,3.547220217271214,Columbia_River_71
